성별,나이,키,몸무게,BMI,BMI_분류,추천 운동 횟수,추천식단
여성,30,178,49,15.5,저체중,0,없음
여성,20,170,92,31.8,비만 2단계,4,저염식
여성,26,183,83,24.8,비만 3단계,5,채식
여성,13,178,41,12.9,저체중,0,없음
남성,16,180,85,26.2,비만 1단계,3,저염식
남성,33,161,47,18.1,저체중,0,없음
여성,29,165,48,17.6,저체중,0,없음
여성,39,156,94,38.6,비만 3단계,5,채식
여성,12,176,93,30,비만 2단계,4,단백질식
여성,16,151,90,39.5,비만 3단계,5,단백질식
여성,24,172,41,13.9,저체중,0,없음
여성,20,174,50,16.5,저체중,0,없음
남성,10,153,79,33.7,비만 2단계,4,저염식
여성,21,165,94,34.5,비만 2단계,4,단백질식
남성,13,160,70,27.3,비만 1단계,3,채식
남성,30,153,79,33.7,비만 2단계,4,채식
여성,30,179,95,29.6,비만 1단계,3,단백질식
남성,40,170,46,15.9,저체중,0,없음
남성,11,176,65,21,정상,0,없음
여성,28,176,57,18.4,저체중,0,없음
여성,13,181,93,28.4,비만 1단계,3,저염식
남성,31,173,85,28.4,비만 1단계,3,단백질식
여성,28,157,96,38.9,비만 3단계,5,저염식
남성,31,172,60,20.3,정상,0,없음
여성,31,155,80,33.3,비만 2단계,4,단백질식
남성,22,172,87,29.4,비만 1단계,3,단백질식
여성,17,182,61,18.4,저체중,0,없음
남성,31,179,54,16.9,저체중,0,없음
여성,25,154,81,34.2,비만 2단계,4,채식
남성,24,185,72,21,정상,0,없음
남성,26,164,58,21.6,정상,0,없음
여성,16,185,95,27.8,비만 1단계,3,단백질식
여성,26,156,57,23.4,비만 3단계,5,저염식
여성,31,181,94,28.7,비만 1단계,3,단백질식
여성,37,176,80,25.8,비만 1단계,3,단백질식
남성,30,181,80,24.4,비만 3단계,5,채식
남성,25,181,93,28.4,비만 1단계,3,저염식
남성,39,174,44,14.5,저체중,0,없음
남성,12,180,89,27.5,비만 1단계,3,채식
남성,23,170,91,31.5,비만 2단계,4,채식
여성,40,182,96,29,비만 1단계,3,단백질식
남성,14,180,88,27.2,비만 1단계,3,채식
여성,27,169,58,20.3,정상,0,없음
여성,17,174,49,16.2,저체중,0,없음
남성,11,177,72,23,비만 3단계,5,단백질식
여성,27,170,99,34.3,비만 2단계,4,단백질식
남성,33,162,60,22.9,정상,0,없음
여성,32,171,72,24.6,비만 3단계,5,단백질식
여성,19,177,57,18.2,저체중,0,없음
남성,32,180,70,21.6,정상,0,없음
남성,12,167,56,20.1,정상,0,없음
남성,26,162,41,15.6,저체중,0,없음
남성,21,150,45,20,정상,0,없음
여성,28,169,91,31.9,비만 2단계,4,단백질식
여성,39,178,42,13.3,저체중,0,없음
남성,17,163,62,23.3,비만 3단계,5,단백질식
남성,34,179,57,17.8,저체중,0,없음
남성,34,181,51,15.6,저체중,0,없음
남성,39,184,60,17.7,저체중,0,없음
남성,13,161,64,24.7,비만 3단계,5,채식
여성,19,174,83,27.4,비만 1단계,3,단백질식
남성,14,162,99,37.7,비만 3단계,5,단백질식
남성,29,157,95,38.5,비만 3단계,5,채식
남성,15,185,62,18.1,저체중,0,없음
여성,33,156,76,31.2,비만 2단계,4,단백질식
여성,25,162,43,16.4,저체중,0,없음
남성,22,177,73,23.3,비만 3단계,5,채식
남성,33,180,76,23.5,비만 3단계,5,저염식
남성,39,166,70,25.4,비만 1단계,3,채식
남성,20,170,58,20.1,정상,0,없음
여성,21,159,65,25.7,비만 1단계,3,채식
남성,33,169,92,32.2,비만 2단계,4,단백질식
여성,16,168,88,31.2,비만 2단계,4,단백질식
여성,38,150,84,37.3,비만 3단계,5,단백질식
여성,21,184,100,29.5,비만 1단계,3,채식
여성,36,171,84,28.7,비만 1단계,3,저염식
여성,29,183,45,13.4,저체중,0,없음
여성,38,164,46,17.1,저체중,0,없음
여성,35,167,83,29.8,비만 1단계,3,단백질식
남성,19,173,48,16,저체중,0,없음
남성,37,178,82,25.9,비만 1단계,3,채식
여성,27,184,89,26.3,비만 1단계,3,채식
여성,15,180,97,29.9,비만 1단계,3,채식
여성,14,176,46,14.9,저체중,0,없음
여성,19,173,100,33.4,비만 2단계,4,단백질식
여성,19,177,78,24.9,비만 3단계,4,단백질식
여성,18,156,49,20.1,정상,0,없음
여성,34,173,87,29.1,비만 1단계,3,저염식
남성,30,164,46,17.1,저체중,0,없음
남성,32,181,68,20.8,정상,0,없음
여성,26,178,53,16.7,저체중,0,없음
남성,23,184,91,26.9,비만 1단계,3,저염식
남성,18,151,96,42.1,비만 3단계,5,단백질식
여성,38,176,42,13.6,저체중,0,없음
여성,19,177,68,21.7,정상,0,없음
남성,32,175,84,27.4,비만 1단계,3,채식
여성,25,173,89,29.7,비만 1단계,3,저염식
여성,27,176,97,31.3,비만 2단계,4,저염식
여성,21,163,60,22.6,정상,0,없음
남성,36,155,99,41.2,비만 3단계,5,저염식
남성,14,160,64,25,비만 1단계,3,단백질식
남성,17,176,65,21,정상,0,없음
남성,25,167,99,35.5,비만 3단계,5,채식
여성,20,180,42,13,저체중,0,없음
여성,19,153,98,41.9,비만 3단계,5,저염식
남성,36,177,71,22.7,정상,0,없음
남성,14,165,62,22.8,정상,0,없음
남성,40,168,66,23.4,비만 3단계,5,단백질식
남성,24,156,81,33.3,비만 2단계,4,저염식
남성,20,166,65,23.6,비만 3단계,5,저염식
여성,22,173,72,24.1,비만 3단계,5,채식
남성,20,177,63,20.1,정상,0,없음
여성,15,174,73,24.1,비만 3단계,5,채식
남성,32,155,77,32,비만 2단계,4,저염식
여성,37,161,61,23.5,비만 3단계,5,채식
여성,14,159,53,21,정상,0,없음
남성,24,155,91,37.9,비만 3단계,5,단백질식
남성,23,168,66,23.4,비만 3단계,5,단백질식
여성,24,180,85,26.2,비만 1단계,3,단백질식
여성,32,151,52,22.8,정상,0,없음
남성,18,166,55,20,정상,0,없음
여성,30,163,43,16.2,저체중,0,없음
남성,33,157,96,38.9,비만 3단계,5,저염식
여성,24,177,58,18.5,정상,0,없음
여성,36,156,92,37.8,비만 3단계,5,채식
남성,35,173,95,31.7,비만 2단계,4,저염식
여성,34,179,42,13.1,저체중,0,없음
여성,38,151,82,36,비만 3단계,5,저염식
남성,14,158,69,27.6,비만 1단계,3,저염식
여성,31,173,80,26.7,비만 1단계,3,저염식
여성,17,177,51,16.3,저체중,0,없음
여성,32,176,46,14.9,저체중,0,없음
남성,36,157,75,30.4,비만 2단계,4,채식
남성,30,172,41,13.9,저체중,0,없음
남성,34,177,58,18.5,정상,0,없음
여성,13,153,81,34.6,비만 2단계,4,저염식
여성,34,164,100,37.2,비만 3단계,5,채식
여성,17,167,88,31.6,비만 2단계,4,단백질식
남성,27,171,94,32.1,비만 2단계,4,저염식
남성,13,162,43,16.4,저체중,0,없음
여성,27,160,100,39.1,비만 3단계,5,채식
남성,40,155,84,35,비만 3단계,5,채식
남성,17,168,64,22.7,정상,0,없음
여성,17,181,61,18.6,정상,0,없음
여성,13,154,81,34.2,비만 2단계,4,단백질식
남성,17,184,88,26,비만 1단계,3,채식
여성,14,156,69,28.4,비만 1단계,3,저염식
여성,21,157,74,30,비만 2단계,4,채식
남성,26,152,45,19.5,정상,0,없음
남성,32,161,60,23.1,비만 3단계,5,저염식
남성,34,176,98,31.6,비만 2단계,4,채식
여성,36,180,41,12.7,저체중,0,없음
남성,15,153,40,17.1,저체중,0,없음
여성,14,172,50,16.9,저체중,0,없음
여성,35,150,74,32.9,비만 2단계,4,단백질식
남성,19,170,55,19,정상,0,없음
남성,37,165,77,28.3,비만 1단계,3,단백질식
남성,34,150,47,20.9,정상,0,없음
여성,15,173,79,26.4,비만 1단계,3,단백질식
남성,31,158,99,39.7,비만 3단계,5,채식
남성,14,183,80,23.9,비만 3단계,5,저염식
남성,24,176,70,22.6,정상,0,없음
